SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82975","Riverside Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","962","503","459","0","0","92","10","0","858","2","0","67","69","63","70","63","75","80","81","82","76","76","84","76","957","68","561"
"19 - 20 School Year","82","Wayne RESA","82400","Riverview Community School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2920","1447","1473","9","37","200","255","0","2397","22","0","199","203","200","214","182","214","225","255","200","266","267","253","227","1313","284","70"
"19 - 20 School Year","82","Wayne RESA","82130","Romulus Community Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2497","1309","1188","3","13","1765","97","0","520","99","66","197","175","175","216","208","193","166","171","154","183","214","182","247","1628","381","24"
"19 - 20 School Year","82","Wayne RESA","82748","Rutherford Winans Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","232","128","104","0","0","231","1","0","0","0","0","42","37","40","34","38","41","0","0","0","0","0","0","0","193","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82729","South Canton Scholars Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","785","398","387","2","257","212","26","1","252","35","0","110","90","92","90","83","88","81","73","78","0","0","0","0","246","55","142"
"19 - 20 School Year","82","Wayne RESA","82140","South Redford School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3118","1623","1495","15","19","2326","116","1","453","188","0","229","209","200","217","195","238","231","260","280","250","306","223","267","1993","422","74"
"19 - 20 School Year","82","Wayne RESA","82405","Southgate Community School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3451","1821","1630","22","37","356","403","4","2566","63","47","262","209","187","208","228","227","229","293","250","299","362","343","339","1844","654","127"
"19 - 20 School Year","82","Wayne RESA","82941","Star International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","1637","786","851","0","44","91","10","0","1488","4","0","136","116","149","132","139","148","149","149","125","109","108","89","88","1525","99","818"
"19 - 20 School Year","82","Wayne RESA","82916","Summit Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","246","120","126","4","4","81","18","0","134","5","0","28","33","25","39","25","20","22","27","27","0","0","0","0","179","52","<10"
"19 - 20 School Year","82","Wayne RESA","82938","Summit Academy North","","All Buildings","82","Wayne","PSA District","Elem thru High School","Rural: Fringe","1803","900","903","8","33","965","125","1","615","56","0","114","95","108","141","119","119","150","159","166","178","171","133","150","1215","247","91"
"19 - 20 School Year","82","Wayne RESA","82995","Taylor Exemplar Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","777","411","366","2","26","379","71","1","230","68","0","98","89","91","88","87","83","85","84","72","0","0","0","0","547","94","34"
"19 - 20 School Year","82","Wayne RESA","82756","Taylor Preparatory High School","","All Buildings","82","Wayne","PSA District","High School","City: Small","435","199","236","2","4","170","54","0","167","38","32","0","0","0","0","0","0","0","0","0","127","120","98","90","271","54","18"
"19 - 20 School Year","82","Wayne RESA","82150","Taylor School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Small","5934","3123","2811","19","89","1709","589","0","3127","401","0","555","500","456","460","416","419","479","449","476","554","421","368","343","4338","1364","307"
"19 - 20 School Year","82","Wayne RESA","82928","The Dearborn Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","516","249","267","0","1","76","164","0","275","0","0","48","68","60","48","59","61","61","60","51","0","0","0","0","506","43","338"
"19 - 20 School Year","82","Wayne RESA","82706","The James and Grace Lee Boggs School","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","138","71","67","0","1","71","7","0","32","27","0","17","14","11","11","17","20","13","18","17","0","0","0","0","94","23","<10"
"19 - 20 School Year","82","Wayne RESA","82754","Tipton Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","477","236","241","0","3","172","25","0","241","36","0","76","71","50","61","47","55","51","30","36","0","0","0","0","355","54","<10"
"19 - 20 School Year","82","Wayne RESA","82155","Trenton Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","2523","1337","1186","4","33","44","148","0","2226","68","0","218","172","154","178","174","144","187","219","189","211","218","220","232","663","394","50"
"19 - 20 School Year","82","Wayne RESA","82973","Trillium Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","613","310","303","1","19","212","57","3","301","20","0","91","46","37","47","63","40","63","52","38","42","40","44","10","434","82","19"
"19 - 20 School Year","82","Wayne RESA","82950","Universal Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","675","355","320","0","0","12","23","0","640","0","0","49","49","50","51","45","51","49","53","53","59","54","55","57","668","41","464"
"19 - 20 School Year","82","Wayne RESA","82982","Universal Learning Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","701","331","370","0","9","64","7","0","606","15","0","57","59","71","60","56","58","66","57","69","56","41","35","16","642","55","423"
"19 - 20 School Year","82","Wayne RESA","82703","University Prepararatory Art & Design","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1300","652","648","0","0","1270","10","1","2","17","0","68","68","68","67","65","69","108","128","140","137","137","127","118","1049","139","<10"
"19 - 20 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1909","920","989","1","5","1833","9","0","10","51","0","144","153","152","160","147","157","149","142","151","151","132","141","130","1523","236","<10"
"19 - 20 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1554","840","714","3","1","1473","12","1","12","52","0","78","84","89","90","93","86","161","189","186","156","127","124","91","1100","136","<10"
"19 - 20 School Year","82","Wayne RESA","82724","University Yes Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","538","254","284","0","0","533","0","0","0","5","0","47","55","53","47","47","57","74","81","77","0","0","0","0","505","40","<10"
"19 - 20 School Year","82","Wayne RESA","82430","Van Buren Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","4551","2388","2163","15","40","1951","192","4","2146","203","7","324","290","295","276","278","289","313","351","351","491","462","381","380","2592","709","111"
"19 - 20 School Year","82","Wayne RESA","82716","Vista Meadows Academy","","All Buildings","82","Wayne","PSA District","High School","Suburb: Large","102","41","61","0","0","97","2","0","2","1","0","0","0","0","0","0","0","0","0","0","32","32","24","14","102","34","<10"
"19 - 20 School Year","82","Wayne RESA","82940","Voyageur Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1178","579","599","2","2","915","208","1","35","15","0","74","84","79","81","79","87","89","91","86","121","104","116","87","1155","90","167"
"19 - 20 School Year","82","Wayne RESA","82746","W-A-Y Academy","","All Buildings","82","Wayne","PSA District","Middle_High School","City: Large","309","168","141","2","0","176","104","0","26","1","0","0","0","0","0","0","0","5","29","11","123","55","57","29","307","41","80"
"19 - 20 School Year","82","Wayne RESA","82970","Warrendale Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","741","373","368","2","0","700","24","0","6","9","0","105","99","103","87","84","77","78","57","51","0","0","0","0","721","61","17"
"19 - 20 School Year","82","Wayne RESA","82719","Washington-Parks Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","1566","794","772","5","1","1551","1","4","4","0","0","199","175","143","150","136","158","184","171","160","68","22","0","0","1474","123","<10"
"19 - 20 School Year","82","Wayne RESA","82710","WAY Michigan","","All Buildings","82","Wayne","PSA District","Middle_High School","City: Large","195","104","91","0","1","41","23","0","128","2","0","0","0","0","0","0","0","3","10","10","51","44","44","33","166","29","<10"
"19 - 20 School Year","82","Wayne RESA","82000","Wayne RESA  - District created from ISD","","All Buildings","82","Wayne","ISD District","Elem thru High School","Suburb: Large","6206","3076","3130","10","101","3414","588","1","1965","127","0","0","0","1","5","2","2","6","4","5","3","8","7","4","5319","48","<10"
"19 - 20 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","10700","5491","5209","49","151","3752","721","10","5542","475","0","796","719","770","738","678","777","725","769","791","1043","759","753","800","7141","1920","356"
"19 - 20 School Year","82","Wayne RESA","82959","West Village Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","369","176","193","1","2","313","13","0","38","2","0","37","41","22","55","46","33","59","48","28","0","0","0","0","247","49","11"
"19 - 20 School Year","82","Wayne RESA","82766","Westfield Charter Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Not Specified","830","401","429","2","0","743","17","0","27","41","0","108","65","74","69","68","72","79","86","65","144","0","0","0","678","81","<10"
"19 - 20 School Year","82","Wayne RESA","82943","Weston Preparatory Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","286","131","155","1","0","282","2","0","0","1","0","29","25","25","27","29","30","36","45","40","0","0","0","0","251","36","<10"
"19 - 20 School Year","82","Wayne RESA","82240","Westwood Community School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","1576","828","748","5","3","1227","49","0","250","42","0","127","119","118","138","127","120","127","103","97","186","137","98","72","1314","260","60"
"19 - 20 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","5671","2887","2784","14","347","803","535","5","3744","223","120","481","398","396","375","383","406","413","411","425","412","482","443","409","2589","962","259"
"19 - 20 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","4686","2535","2151","30","19","280","614","17","3590","136","0","355","344","282","295","307","331","315","386","353","399","386","369","362","2683","1107","138"
"19 - 20 School Year","82","Wayne RESA","82921","Academy for Business and Technology","09332","Academy for Business and Technology Elementary","82","Wayne","PSA School","Elementary","City: Small","273","129","144","0","0","211","39","0","10","13","0","42","46","48","44","57","36","0","0","0","0","0","0","0","261","35","33"
"19 - 20 School Year","82","Wayne RESA","82921","Academy for Business and Technology","08435","Academy for Business and Technology High School","82","Wayne","PSA School","Middle_High School","Suburb: Large","288","160","128","0","0","259","18","0","11","0","0","0","0","0","0","0","0","41","40","50","57","48","34","17","257","49","11"
"19 - 20 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","09850","ACE Academy (SDA) -Glendale, Lincoln, Woodward, Jefferson","82","Wayne","PSA School","Elem thru High School","Suburb: Large","146","132","14","0","0","112","6","1","25","2","0","0","0","0","0","0","0","4","3","10","21","35","36","37","146","27","<10"
"19 - 20 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","03045","ACE Academy - Jefferson site","82","Wayne","PSA School","Elem thru High School","City: Large","10","10","0","0","0","5","0","0","4","1","0","0","0","0","0","0","0","0","0","3","1","4","1","1","10","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82717","Achieve Charter Academy","00110","Achieve Charter Academy","82","Wayne","PSA School","Elem_Middle School","Rural: Fringe","791","384","407","1","435","108","25","1","182","39","0","90","88","90","89","87","93","86","93","75","0","0","0","0","107","46","169"
"19 - 20 School Year","82","Wayne RESA","63914","Advanced Technology Academy","09910","Advanced Technology Academy","82","Wayne","PSA School","Elem thru High School","City: Small","1273","609","664","2","3","931","262","2","66","7","25","93","90","93","95","75","81","100","105","108","130","104","96","103","1187","99","227"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","08422","Allen Park Community School","82","Wayne","LEA School","High School","Suburb: Large","111","74","37","1","0","5","21","0","79","5","0","0","0","0","0","0","0","0","0","0","2","13","40","56","59","19","<10"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","00065","Allen Park High School","82","Wayne","LEA School","High School","Suburb: Large","1179","588","591","5","5","32","166","1","956","14","0","0","0","0","0","0","0","0","0","0","309","325","290","254","370","126","37"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","03517","Allen Park Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","895","458","437","4","8","19","120","0","724","20","0","0","0","0","0","0","0","292","310","293","0","0","0","0","322","96","27"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","00121","Arno Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","509","252","257","0","5","16","99","2","367","20","0","99","79","77","82","85","87","0","0","0","0","0","0","0","253","72","20"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","00279","Bennie Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","489","247","242","5","7","22","59","0","387","9","0","93","73","78","76","88","81","0","0","0","0","0","0","0","183","60","19"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","02229","Lindemann Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","648","349","299","0","1","2","83","0","538","24","0","121","99","102","102","109","115","0","0","0","0","0","0","0","194","75","18"
